<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250914 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-916289015348             9          5
4-79367494202              3          3
4-919021019361             10          6
4-19059526986              5          5
4-919845288088             8          5
4-84900300                 3          3
4-8615426540000            5          5
6-3319120120660            6          6
4-8390542336874            3          3
4-905590000404             4          4
4-79167494447              4          4
4-33609009912             40         31
4-447782000332             3          0
4-62836083432              3          3
4-4348040004555            4          1
4-33609009903             28         15
4-491760003003             10          10
4-19703769843             53         28
4-8613467440000            4          4
4-55191491720125           5          5
4-38977000470              4          4
6-996700010120             6          1
4-393358840763002          3          0
4-331914646940007          4          4
4-37493000965              3          3
4-447955700258             5          2
4-4528333336               3          3
4-79012275192              8          8
4-46707000274              3          3
4-447955700257             5          5
6-691700600167             6          3
4-48601000064              4          4
4-659180009010             5          1
4-639180009004             4          1
6-358602001001             6          2
4-8618516404544            4          1
4-861851340000             4          4
4-639180008994             4          1
4-33191485010109           9          9
4-3339360360029            3          3
6-861395810000             6          6
4-261540010207             5          0
4-919810051031            14         10
4-79367494307              3          3
4-33111136700040            11          11
6-68602003061              6          2
4-905590000436             4          1
4-19039326900              10          4
4-14404494436              4          1
4-46707003206              7          4
4-8634735630000            3          3
6-882285000001100          6          0
4-79167494441              4          4
6-218919121253             6          6
4-33111131134110278           11          11
4-491780003001             8          5
4-401059968077             4          1
4-66943011551              4          1
6-79167696220              6          6
4-8615100740000            4          0
4-863565485003             3          0
4-30971460009              4          4
4-387910930                7          4
4-79639743353              3          3
4-2348020004557            3          3
4-917011075049             4          1
4-79167494186              4          4
4-447782000223             3          0
4-79367494384              3          3
4-447784000444             4          0
4-4528333332               3          3
6-639180008987             6          2
4-8615847670000            4          4
4-919815053740             8          5
4-331111485010102           11          6
4-447797707075             4          0
4-79367494226              3          3
4-30971460010              4          4
4-64477435103              4          4
4-33393443850394           3          3
4-989330006                3          3
4-3745098046               4          1
4-919898092806             7          3
4-79639743352              3          3
4-863856834003             3          3
4-659180008990             5          2
4-201079968070             7          4
4-863564643000             3          3
4-2694000125              12          7
4-440733087401             4          0
4-33191443850195           4          4
4-8618516404544            4          0
4-79270009045              10          10
4-14085978679              4          1
4-237694000000             3          3
6-79289900080              6          3
4-33191546560172          15         10
4-861854918000             4          1
4-79167494405              4          4
4-33191491720344          12          9
4-14054749341              4          0
4-8390542336883            3          3
4-3319140140508            4          4
4-66923034503              3          3
6-3319120120665            6          6
4-93793030302              3          0
4-882285000003302          3          0
4-491700600145             5          2
4-34054729344              3          0
4-639180009003             4          0
4-447953700256             3          3
4-34044559363              3          3
4-863565484935             3          3
4-34054729209              3          3
4-3859832030               3          3
4-33191962770199           7          4
4-8613759610000            4          4
4-46707000410              5          1
4-33191316540398           4          4
4-8638423380000            3          3
4-447782000226             3          0
4-66925015502              5          5
4-8390542334880            3          3
4-30971460017              4          1
4-3319160160030            7          4
4-66943016544              4          4
4-3319140140441            4          4
4-244920002308             3          3
4-447953700459             4          4
4-8613870840000            7          7
4-659180009020             5          1
6-691700600158             6          3
4-8638473670000            3          3
4-40770000028              8          5
4-22890600000              3          3
4-493700600330             3          0
4-884485000001109          4          0
4-79367494203              3          3
4-331911514440008          4          4
4-4367603034000            4          1
4-8639882390000            3          3
4-491960003023             9          6
4-839066539770             3          3
4-3319120120448            8          5
6-31626000287              6          6
4-491700600514             5          2
4-861300013104             4          4
4-358447981103             4          4
4-441903004045             4          4
4-13603399657              4          4
4-447782000243             3          3
4-61415011015              4          0
4-491700600141             10          10
4-13603399656              9          5
4-30971460018              7          4
4-436760382233             3          3
4-201059988084             8          8
4-33393336540340           3          3
4-447784000111             4          1
6-33191316560327           6          3
4-97555810271              5          2
4-420733087400             3          0
4-447784000445             4          0
4-8634756540000            3          0
4-8190544119854            4          4
4-46935489100              9          5
4-456760182225             5          1
6-66705003201              6          3
4-48603000066              3          0
4-905590000444             4          4
4-639180009018             4          0
4-33191316540164           4          4
4-659180009015             5          1
4-905590000444             4          1
4-639180008985             4          0
4-863854896000             3          3
4-5519120120511            5          5
4-863325477803             3          3
4-639180009013             4          1
4-447955700218             5          2
4-863325477829             3          3
4-491700600149             4          4
4-863958454000             3          3
4-905590000237             3          3
4-447784000114             4          1
4-79032323392              3          3
6-201059968201             6          3
4-449802002932             9          9
4-3859832033               3          0
4-491700600145             4          4
4-31624000283              7          4
4-79549480194              4          0
6-37068699230              6          3
4-447802002748             7          7
4-201059968204             5          5
4-5693600207               3          0
4-436990071496             4          4
6-3319120120668            6          6
4-36363848770              3          3
4-863866200057             3          0
4-939823000377             3          3
4-552061000240             5          2
4-418949999930             4          4
4-8634796930000            3          0
4-33393336540334           3          0
6-691700600123             6          6
4-8638536404527            3          0
4-27832022225              3          3
4-34047259039              3          3
4-33191485010437           4          4
4-358508771144             4          1
4-46723900030              3          3
4-14404494444              4          4
4-8633460340000            3          3
4-354061000440             4          4
4-491700600515             5          2
4-550023302005             3          3
4-8613541740000            4          1
4-3319140140541            4          4
4-884485000001101          4          1
4-971550930006             4          4
4-8637842050000            3          3
4-491700600155             5          2
4-882285000003306          3          0
4-447804004464             4          4
4-39039326946              3          3
4-8634735730000            3          3
4-9779800000054            3          3
4-34054729322              3          3
4-14404494440              4          4
4-57129201245              5          2
4-863326404000             3          0
4-447953700213             10          5
4-4528332000               3          3
4-3339327820090            3          3
4-447784000443             4          4
6-667953700228             6          2
4-2203005292               3          3
4-939823000693             3          3
4-639380009036             3          3
4-491700600130             4          4
4-8613479640000            4          4
4-4548133318               4          4
4-8638482650000            3          3
4-8633832340000            3          3
6-667782000227             6          2
4-447784000444             4          1
4-447797707076             4          0
4-8633748602               3          3
4-8634796670000            3          3
4-4533307403               3          3
4-447953700224             3          3
4-905590000444             4          4
4-550303302069             3          3
4-8638402400000            3          3
4-456760182224             5          1
4-336530870030             3          3
4-447955700256             5          2
4-447955700257             5          5
4-79101599985              5          5
4-883330000008323          3          3
4-201059968079             5          2
4-333932547700002          3          0
4-551925500026             5          1
4-863300020303             3          3
6-639180009000             6          0
4-33393374950023           3          3
