Country_x,Operator_x,Brand_x,PLMN_x,tech_2g,tech_3g,tech_lte,operator_name_upper,country_upper,MCC,MNC,PLMN_y,Region,Country_y,ISO,Operator_y,Brand_y,TADIG,Bands,brand_upper
Thailand,AIS or Advanced Info Service,,,X,X,X,AIS OR ADVANCED INFO SERVICE,THAILAND,,,,,,,,,,,
Thailand,AJ SIM,,,,X,X,AJ SIM,THAILAND,,,,,,,,,,,
Thailand,Feels,,,,X,X,FEELS,THAILAND,,,,,,,,,,,
Thailand,IEC3G Buzzme,,,,X,,IEC3G BUZZME,THAILAND,,,,,,,,,,,
Thailand,Mojo 3G,,,,X,,MOJO 3G,THAILAND,,,,,,,,,,,
Thailand,MyWorld 3G,,,,X,,MYWORLD 3G,THAILAND,,,,,,,,,,,
Thailand,NT Mobile,,,,X,X,NT MOBILE,THAILAND,,,,,,,,,,,
Thailand,OPEN SIM i-mobile,,,,X,,OPEN SIM I-MOBILE,THAILAND,,,,,,,,,,,
Thailand,Penguin,,,,X,,PENGUIN,THAILAND,,,,,,,,,,,
Thailand,Redone  ),,,,X,X,REDONE  ),THAILAND,,,,,,,,,,,
Thailand,Tune Talk,,,,X,,TUNE TALK,THAILAND,,,,,,,,,,,
Thailand,i-Kool 3G,,,,X,,I-KOOL 3G,THAILAND,,,,,,,,,,,
Thailand,imobile-3GX,,,,X,,IMOBILE-3GX,THAILAND,,,,,,,,,,,
Thailand,my by NT,,,,X,X,MY BY NT,THAILAND,,,,,,,,,,,
Timor-Leste,Telemor,,,X,X,X,TELEMOR,TIMOR-LESTE,,,,,,,,,,,
Timor-Leste,Telkomcel,,,X,X,X,TELKOMCEL,TIMOR-LESTE,,,,,,,,,,,
Timor-Leste,Timor Telecom,,,X,X,X,TIMOR TELECOM,TIMOR-LESTE,,,,,,,,,,,
Togo,Moov Africa Togo,,,X,,,MOOV AFRICA TOGO,TOGO,,,,,,,,,,,
Togo,Togocel,,,X,X,,TOGOCEL,TOGO,,,,,,,,,,,
Tonga,TCC,,,X,X,,TCC,TONGA,,,,,,,,,,,
Tonga,Wantok,,,X,X,,WANTOK,TONGA,,,,,,,,,,,
Trinidad and Tobago,bmobile,,,X,X,X,BMOBILE,TRINIDAD AND TOBAGO,374.0,12.0,37412.0,North America and the Caribbean,Trinidad and Tobago,TT,TSTT,bmobile,,GSM 850 / GSM 1900 / UMTS 850 / UMTS 1900 / LTE 1900 / TD-LTE 2500 / 5G 2500,BMOBILE
Tunisia,Ooredoo,,,X,X,X,OOREDOO,TUNISIA,,,,,,,,,,,
Tunisia,Tunisie Telecom,,,X,X,X,TUNISIE TELECOM,TUNISIA,,,,,,,,,,,
Turkey,Vodafone Turkey,,,X,X,X,VODAFONE TURKEY,TURKEY,,,,,,,,,,,
Turkmenistan,AȘTU,,,,,,AȘTU,TURKMENISTAN,,,,,,,,,,,
Turkmenistan,TM CELL,,,X,X,X,TM CELL,TURKMENISTAN,,,,,,,,,,,
Turks and Caicos Islands,Digicel,,,X,X,X,DIGICEL,TURKS AND CAICOS ISLANDS,376.0,351.0,376351.0,North America and the Caribbean,Turks and Caicos Islands,TC,Digicel (Turks & Caicos) Limited,Digicel,,,DIGICEL
Turks and Caicos Islands,FLOW,,,X,X,X,FLOW,TURKS AND CAICOS ISLANDS,376.0,352.0,376352.0,North America and the Caribbean,Turks and Caicos Islands,TC,Cable & Wireless West Indies Ltd (Turks & Caicos),FLOW,,UMTS 850,FLOW
Turks and Caicos Islands,FLOW,,,X,X,X,FLOW,TURKS AND CAICOS ISLANDS,376.0,360.0,376360.0,North America and the Caribbean,Turks and Caicos Islands,TC,Cable & Wireless West Indies Ltd (Turks & Caicos),FLOW,,,FLOW
Tuvalu,TTC,,,X,,X,TTC,TUVALU,553.0,1.0,55301.0,Oceania,Tuvalu,TV,Tuvalu Telecom,TTC,,UMTS 900 / LTE 850,TTC
Uganda,Airtel Uganda,,,X,X,,AIRTEL UGANDA,UGANDA,,,,,,,,,,,
Uganda,Lycamobile,,,,,,LYCAMOBILE,UGANDA,641.0,26.0,64126.0,Africa,Uganda,UG,Lycamobile Network Services Uganda Limited,Lycamobile,,MVNO,LYCAMOBILE
Uganda,MTN Uganda,,,X,X,X,MTN UGANDA,UGANDA,,,,,,,,,,,
Uganda,Smile Telecom,,,,,,SMILE TELECOM,UGANDA,,,,,,,,,,,
Uganda,UTel,,,X,X,,UTEL,UGANDA,,,,,,,,,,,
Ukraine,Intertelecom,,25504,,,,INTERTELECOM,UKRAINE,255.0,4.0,25504.0,Europe,Ukraine,UA,Intertelecom LLC,Intertelecom,,CDMA 800,INTERTELECOM
Ukraine,Kyivstar,,25503,X,X,X,KYIVSTAR,UKRAINE,255.0,5.0,25505.0,Europe,Ukraine,UA,"PRJSC ""Kyivstar""",Kyivstar,,GSM 1800,KYIVSTAR
Ukraine,PEOPLEnet,,25521,,,,PEOPLENET,UKRAINE,255.0,21.0,25521.0,Europe,Ukraine,UA,"PRJSC ""Telesystems of Ukraine""",PEOPLEnet,,CDMA 800,PEOPLENET
Ukraine,TriMob,,25507,,X,,TRIMOB,UKRAINE,,,,,,,,,,,
United Kingdom,EE,,23430 and 23433,X,,X,EE,UNITED KINGDOM,,,,,,,,,,,
United Kingdom,O2,,23410,X,X,X,O2,UNITED KINGDOM,,,,,,,,,,,
United Kingdom,Three,,23420,,X,X,THREE,UNITED KINGDOM,,,,,,,,,,,
United Kingdom,Vodafone,,23415,X,,X,VODAFONE,UNITED KINGDOM,,,,,,,,,,,
United States,AT&T,,,,,X,AT&T,UNITED STATES,,,,,,,,,,,
United States,Boost Mobile,,,,,,BOOST MOBILE,UNITED STATES,,,,,,,,,,,
United States,T-Mobile,,,X,,X,T-MOBILE,UNITED STATES,,,,,,,,,,,
United States,U.S. Cellular,,,,,X,U.S. CELLULAR,UNITED STATES,,,,,,,,,,,
United States,Verizon,,,,,X,VERIZON,UNITED STATES,,,,,,,,,,,
Uruguay,Antel,,,X,X,X,ANTEL,URUGUAY,748.0,0.0,74800.0,South and Central America,Uruguay,UY,Administración Nacional de Telecomunicaciones,Antel,,TDMA,ANTEL
Uruguay,Antel,,,X,X,X,ANTEL,URUGUAY,748.0,1.0,74801.0,South and Central America,Uruguay,UY,Administración Nacional de Telecomunicaciones,Antel,,GSM 1800 / UMTS 850 / UMTS 2100 / LTE 700 / LTE 1700 / 5G 3500,ANTEL
Uruguay,Antel,,,X,X,X,ANTEL,URUGUAY,748.0,3.0,74803.0,South and Central America,Uruguay,UY,Administración Nacional de Telecomunicaciones,Antel,,,ANTEL
Uzbekistan,Mobi.UZ,,,X,X,X,MOBI.UZ,UZBEKISTAN,,,,,,,,,,,
Uzbekistan,Perfectum,,,,,,PERFECTUM,UZBEKISTAN,,,,,,,,,,,
Uzbekistan,Uzmobile,,,,,,UZMOBILE,UZBEKISTAN,434.0,3.0,43403.0,Asia and the Middle East,Uzbekistan,UZ,Uzbektelekom,UzMobile,,CDMA2000 450,UZMOBILE
Uzbekistan,Uzmobile,,,,,,UZMOBILE,UZBEKISTAN,434.0,8.0,43408.0,Asia and the Middle East,Uzbekistan,UZ,Uzbektelekom,UzMobile,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,UZMOBILE
Vanuatu,AIL,,,X,,,AIL,VANUATU,541.0,0.0,54100.0,Oceania,Vanuatu,VU,ACeS International (AIL),AIL,,GSM 900,AIL
Vanuatu,Vodafone Vanuatu,,,X,,,VODAFONE VANUATU,VANUATU,,,,,,,,,,,
Vanuatu,WanTok,,,,,X,WANTOK,VANUATU,541.0,7.0,54107.0,Oceania,Vanuatu,VU,WanTok Vanuatu Ltd,WanTok,,TD-LTE 2300,WANTOK
Venezuela,Digitel GSM,,,X,X,X,DIGITEL GSM,VENEZUELA,734.0,2.0,73402.0,South and Central America,Venezuela,VE,Corporacion Digitel C.A.,Digitel GSM,,GSM 900 / GSM 1800 / UMTS 900 / LTE 1800,DIGITEL GSM
Venezuela,Movilnet,,,X,X,X,MOVILNET,VENEZUELA,734.0,6.0,73406.0,South and Central America,Venezuela,VE,Telecomunicaciones Movilnet,Movilnet,,CDMA2000 850 / GSM 850 / UMTS 1900 / LTE 1700,MOVILNET
Vietnam,Viettel,,,,X,X,VIETTEL,VIETNAM,,,,,,,,,,,
Yemen,Y Telecom,,,X,,,Y TELECOM,YEMEN,,,,,,,,,,,
Yemen,YOU,,,X,,,YOU,YEMEN,,,,,,,,,,,
Yemen,Yemen Mobile,,,,,X,YEMEN MOBILE,YEMEN,421.0,3.0,42103.0,Asia and the Middle East,Yemen,YE,Yemen Mobile,Yemen Mobile,,CDMA2000 800,YEMEN MOBILE
Zambia,MTN,,,X,X,X,MTN,ZAMBIA,645.0,2.0,64502.0,Africa,Zambia,ZM,MTN Group,MTN,,GSM 900 / UMTS 2100 / LTE 1800,MTN
Zimbabwe,NetOne,,,X,X,X,NETONE,ZIMBABWE,,,,,,,,,,,
