,Country,Operator,Ownership,MCCMNC,Technology,Notes,Includes
86,Italy,TIM,TIM Group,22201,"900 MHz GSM (GPRS, EDGE) 700/800/900/1500/1800/2100/2600 MHz LTE, LTE-A 700/2100/3700/28000 MHz 5G NR VoLTE, VoWiFi, AML",,
87,Italy,Vodafone Italy,Swisscom,22210,"900 MHz GSM (GPRS, EDGE) 700/800/900/1500/1800/2100/2600 MHz LTE, LTE-A 700/2100/3700/28000 MHz 5G NR VoLTE, AML",,
88,Italy,Iliad,Iliad Group,22250,"Roaming on Wind Tre 2G 900 MHz UMTS, HSPA, HSPA+ 700/1800/2100/2600 MHz LTE, LTE-A (RAN sharing on Wind Tre 3G/4G where needed, and also 5G in Zefiro Net areas) 700/3500/28000 MHz 5G NR AML, VoLTE",,
89,Italy,Fastweb,Swisscom,22208,"Roaming on TIM and Wind Tre 2G/3G/4G/5G 28000 MHz 5G NR (FWA only) VoLTE, VoWiFi, AML",,
90,Jersey,JT,JT Group,23450,GSM-900/1800 2100 MHz UMTS 800/1800/2600 MHz LTE,,
91,Jersey,Sure,Batelco,23455,GSM-900/1800 2100 MHz UMTS LTE,,
92,Jersey,Airtel-Vodafone,Batelco,23403,GSM-900/1800 2100 MHz UMTS LTE,,
93,Kosovo,Vala,Government of Kosovo,22101,"GSM-900/1800 MHz (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 1800 MHz LTE, LTE-A 800/3600 MHz 5G NR",,
94,Kosovo,Ipko,Telekom Slovenije,22102,"GSM-900/1800 MHz (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 1800 MHz LTE, LTE-A 800/3600 MHz 5G NR",,
95,Latvia,LMT,"Telia (49%), Tet (Possessor (51%) and Telia (49%)) (23%), Latvian State Radio and Television Centre (LVRTC) (23%), Possessor (5%)",24701,"GSM-900/1800 MHz 900/2100 MHz UMTS, DC-HSPA+ 700/800/1500/1800/2100/2300/2600 MHz LTE, LTE-A 3500 MHz 5G NR VoLTE",,
96,Latvia,Tele2,Tele2,24702,"GSM-900/1800 MHz 900/2100 MHz UMTS 800/1800/2100/2600 MHz LTE, LTE-A 700/1500/3500 MHz - 5G NR",,
97,Latvia,Bitė,Providence Equity Partners,24705,"GSM-900 MHz 900/2100 MHz UMTS, HSPA+ 700/800/1800/2100/2300/2600 MHz LTE, LTE-A 1500/3500 MHz - 5G NR",,
98,Latvia,Triatel,,24703,450 MHz CDMA2000[87],,
99,Latvia,Xomobile,,24709,International mobile network based in Latvia[88],,
100,Liechtenstein,FL1 [de],State-owned,29505,GSM-900/1800 2100 MHz UMTS 800/2100/2600 MHz LTE,,
101,Liechtenstein,7acht,Salt Mobile,29502,GSM-900/1800 2100 MHz UMTS 1800/2100/2600 MHz LTE,,
102,Liechtenstein,Swisscom FL,Swisscom,29501,GSM-900/1800 2100 MHz UMTS 900/1800/2100 MHz LTE VoLTE,,
103,Lithuania,Tele2,Tele2,24603,"GSM-900/1800 MHz (GPRS, EDGE) 700/800/900/1500/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWIFI 700 MHz, 3500 MHz - 5G NR",,
104,Lithuania,Telia Lietuva,Telia Company,24601,"GSM-900/1800 MHz (GPRS, EDGE) 700/800/900/1500*/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWIFI 700 MHz, 3500 MHz - 5G NR",,
105,Lithuania,Bitė • includes the previous Mezon network.,Providence Equity Partners,24602 24608 • includes the previous Mezon network.,"GSM-900/1800 MHz (GPRS, EDGE) 700/800/900/1800/2100/2300/2600 MHz LTE, LTE-A VoLTE, VoWIFI 2300 MHz TDD, 2600 MHz TDD - 5G NR",,
106,Luxembourg,Orange,Orange Belgium,27099,"GSM-1800 (EDGE) 2100 MHz UMTS, DC-HSPA+ 1800 MHz LTE 3500 MHz - 5G NR",,
107,Luxembourg,Tango,Proximus Group,27077,"GSM-900/1800 2100 MHz UMTS, HSPA+ 1800 MHz LTE VoLTE 3500 MHz - 5G NR",,
108,Luxembourg,POST,POST Luxembourg,27001,"GSM-900/1800 2100 MHz UMTS, HSDPA 1800 MHz LTE 3500 MHz - 5G NR",,
109,Luxembourg,Luxembourg Online,Luxembourg Online,27005,"2100 MHz UMTS, HSDPA",,
110,Malta,Epic,Monaco Telecom,27801,"GSM 900/1800 MHz (GPRS) 900/2100 MHz UMTS, HSDPA, HSUPA 800/1800/2600 MHz LTE, LTE-A, LTE-A Pro 3500 MHz - 5G NR",,
111,Malta,GO,"Tunisie Telecom (65.42%), public (34.58%)",27821,"GSM 900/1800 MHz (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA 800/1800/2600 MHz LTE, LTE-A, LTE-A Pro 3500 MHz - 5G NR",,
112,Malta,Melita,EQT AB  (pending sale to Goldman Sachs Alternatives[91]),27877,"2100 MHz UMTS, HSDPA 800/1800 MHz LTE, LTE-A Pro 3500 MHz - 5G NR",,
113,Moldova,Orange,Orange S.A. (94.3%),25901,"GSM-900/1800 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 800/1800/2600 MHz LTE, LTE-A VoLTE",,
