Country,Operator,Brand,PLMN,tech_2g,tech_3g,tech_lte
South Sudan,MTN,,,X,X,
South Sudan,Sudani,,,X,X,
South Sudan,Vivacell,,,X,,
South Sudan,Zain,,,X,X,
Spain,DIGI,,21422,,,X
Spain,Movistar,,21407,X,X,X
Spain,MásOrange,,21403 21404,X,X,X
Spain,Vodafone,,21401,X,X,X
Sri Lanka,Dialog,,413-02,X,,X
Sri Lanka,Hutch,,413-08,X,X,X
Sri Lanka,SLTMobitel,,413-01,X,X,X
Sudan,Canar,,,,,
Sudan,MTN,,,X,X,X
Sudan,Sudani,,,X,X,
Sudan,Zain,,,X,X,X
Suriname,Digicel,,,X,X,
Suriname,Telesur,,,X,X,X
Sweden,Tele2,,24007,X,X,X
Sweden,Telenor,,24008,X,X,X
Sweden,Telia,,24001,X,X,X
Sweden,Tre,,24002,,X,X
Switzerland,Salt,,22803,,X,X
Switzerland,Sunrise,,22802,,X,X
Switzerland,Swisscom,,22801,,X,X
Syria,MTN,,,X,X,X
Syria,Rcell,,,,,X
Syria,Syriatel,,,X,X,X
São Tomé and Príncipe,CST,,,X,X,
Taiwan,Chunghwa Telecom 中華電信,,,,,X
Taiwan,Far EasTone 遠傳電信,,,,,X
Taiwan,Ibon Mobile,,,,,X
Taiwan,Line Mobile,,,,,X
Taiwan,Taiwan Mobile 台灣大哥大,,,,,X
Tajikistan,Babilon-Mobile,,,X,X,X
Tajikistan,MegaFon,,,X,X,
Tajikistan,Tcell,,,X,X,X
Tajikistan,ZET Mobile,,,X,X,
Tanzania,Airtel,,,X,X,X
Tanzania,Halotel,,,X,X,X
Tanzania,Tigo,,,X,X,X
Tanzania,Vodacom,,,X,X,X
Tanzania,Zantel,,,X,X,
Thailand,168,,,,X,
Thailand,AIS or Advanced Info Service,,,X,X,X
Thailand,AJ SIM,,,,X,X
Thailand,Feels,,,,X,X
Thailand,IEC3G Buzzme,,,,X,
