carrier_name,country,CC,NDC,country_upper,carrier_name_upper
O2,Argentina,54.0,2625,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,263,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2646,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2920,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2929,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2933,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2983,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3401,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3407,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3408,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,343,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3435,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3460,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3462,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3465,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3468,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3487,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3491,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3532,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3542,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3549,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3576,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3716,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3734,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3735,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3827,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3841,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3873,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3885,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3894,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2221,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2226,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2245,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2246,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2257,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2265,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2273,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2314,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2324,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2336,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2357,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2651,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2902,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,294,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2948,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2963,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2964,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,336,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3406,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3436,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3455,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3456,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3493,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3525,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3543,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3546,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3548,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3562,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3574,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,362,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3758,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3825,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,385,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3858,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3865,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3867,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,388,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2271,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2297,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2316,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2320,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2323,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2325,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2331,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2335,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2337,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2338,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2346,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2355,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,236,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2396,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2473,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,261,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2624,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2655,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,266,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2901,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2926,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2927,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2928,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2952,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3387,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3402,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3404,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3498,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3563,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3571,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3715,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3751,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3773,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3821,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3846,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3857,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3862,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3863,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3876,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3886,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2225,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,223,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2255,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2262,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2274,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2284,ARGENTINA,O2 ARGENTINA
