MCC,MNC,PLMN,Region,Country,ISO,Operator,Brand,PLMNCode,2G,GPRS/3G,LTE,NetworkId,NetworkName,Source
262.0,1.0,26201.0,Europe,Germany,DE,Telekom Deutschland GmbH,Telekom,DEUD1,YES,YES,YES,telekom_germany,Telekom,system
262.0,2.0,26202.0,Europe,Germany,DE,Vodafone D2 GmbH,Vodafone,DEUD2,YES,YES,YES,vodafone_germany,Vodafone,system
262.0,7.0,26207.0,Europe,Germany,DE,Telefónica Germany GmbH & Co. oHG,O2,DEUE2,YES,YES,YES,o2_germany,O2,system
638.0,1.0,63801.0,Africa,Djibouti,DJ,Djibouti Telecom SA,Evatis,DJIDJ,YES,YES,YES,evatis_djibouti,Evatis,system
366.0,110.0,366110.0,North America and the Caribbean,Dominica,DM,Cable &  Wireless,FLOW,DMACW,YES,YES,YES,flow_dominica,FLOW,system
238.0,2.0,23802.0,Europe,Denmark,DK,Telenor Denmark,Telenor,DNKDM,YES,YES,YES,telenor_denmark,Telenor,system
238.0,6.0,23806.0,Europe,Denmark,DK,Hi3G Denmark ApS,3,DNKHU,,YES,YES,3_denmark,3,system
238.0,20.0,23820.0,Europe,Denmark,DK,Telia,Telia,DNKIA,YES,YES,YES,telia_denmark,Telia,system
238.0,1.0,23801.0,Europe,Denmark,DK,TDC A/S,TDC,DNKTD,YES,YES,YES,tdc_denmark,TDC,system
370.0,2.0,37002.0,North America and the Caribbean,Dominican Republic,DO,Compañía Dominicana de Teléfonos,Claro,DOMCL,YES,YES,YES,claro_dominican_republic,Claro,system
603.0,1.0,60301.0,Africa,Algeria,DZ,Algérie Télécom,Mobilis,DZAA1,YES,YES,YES,mobilis_algeria,Mobilis,system
603.0,2.0,60302.0,Africa,Algeria,DZ,Optimum Telecom Algérie Spa,Djezzy,DZAOT,YES,YES,YES,djezzy_algeria,Djezzy,system
603.0,3.0,60303.0,Africa,Algeria,DZ,Wataniya Telecom Algérie,Ooredoo,DZAWT,YES,YES,YES,ooredoo_algeria,Ooredoo,system
740.0,2.0,74002.0,South and Central America,Ecuador,EC,Corporación Nacional de Telecomunicaciones (CNT EP),CNT Mobile,ECUAL,YES,YES,YES,cnt_mobile_ecuador,CNT Mobile,system
740.0,0.0,74000.0,South and Central America,Ecuador,EC,Otecel S.A.,Movistar,ECUOT,YES,YES,YES,movistar_ecuador,Movistar,system
740.0,1.0,74001.0,South and Central America,Ecuador,EC,CONECEL S.A.,Claro,ECUPG,YES,YES,YES,claro_ecuador,Claro,system
602.0,1.0,60201.0,Africa,Egypt,EG,Orange Egypt,Orange,EGYAR,YES,YES,YES,orange_egypt,Orange,system
602.0,3.0,60203.0,Africa,Egypt,EG,Etisalat Egypt,Etisalat,EGYEM,YES,YES,YES,etisalat_egypt,Etisalat,system
602.0,2.0,60202.0,Africa,Egypt,EG,Vodafone Egypt,Vodafone,EGYMS,YES,YES,YES,vodafone_egypt,Vodafone,system
214.0,1.0,21401.0,Europe,Spain,ES,Vodafone Spain,Vodafone,ESPAT,YES,YES,YES,vodafone_spain,Vodafone,system
214.0,22.0,21422,,Spain,,,DIGI,ESPDI,N.A,N.A,N.A,digi_spain,DIGI,system
214.0,3.0,21403.0,Europe,Spain,ES,Orange Espagne S.A.U,Orange,ESPRT,YES,YES,YES,orange_spain,Orange,system
214.0,7.0,21407.0,Europe,Spain,ES,Telefónica Móviles España,Movistar,ESPTE,YES,YES,YES,movistar_spain,Movistar,system
214.0,4.0,21404.0,Europe,Spain,ES,Xfera Moviles SA,Yoigo,ESPXF,,,YES,yoigo_spain,Yoigo,system
248.0,1.0,24801.0,Europe,Estonia,EE,Telia Eesti,Telia,ESTEM,YES,YES,YES,telia_estonia,Telia,system
248.0,3.0,24803.0,Europe,Estonia,EE,Tele2 Eesti,Tele2,ESTRB,YES,YES,YES,tele2_estonia,Tele2,system
