NetworkId,NetworkName,Rate,Routage,Source
stc_kuwait,STC,10,Bilateral,system
zain_kw_kuwait,zain KW,90,Bilateral,system
k.s.c_ooredoo_kuwait,K.S.C Ooredoo,HLR BARRING,Bilateral,system
unitel_laos,Unitel,,,system
etl_laos,ETL,,,system
laotel_laos,LaoTel,,,system
beeline_laos,Beeline,,,system
alfa_lebanon,Alfa,0,Bilateral,system
touch_lebanon,Touch,100,Bilateral,system
orange_(cellcom)_liberia__liberia,Orange (Cellcom) Liberia ,90,Bilateral,system
lonestar_communications_corporation_liberia,Lonestar Communications Corporation,10,Orange Hub,system
madar_libya,Madar,0,Bilateral,system
libyana_libya,Libyana,100,Bilateral,system
flow_saint_lucia,FLOW,,,system
fl1_liechtenstein,FL1,100,Bilateral,system
alpmobil_liechtenstein,Alpmobil,,,system
7acht_liechtenstein,7acht,0+,Orange Hub,system
mobitel_sri_lanka,Mobitel,HLR BARRING,Comfone,system
etisalat_sri_lanka,Etisalat,,,system
dialog_sri_lanka,Dialog,HLR BARRING,Bilateral,system
hutch_sri_lanka,Hutch,100,Comfone,system
econet_telecom_lesotho,Econet Telecom,,,system
vodacom_lesotho,Vodacom,,,system
tele2_lithuania,Tele2,90,Bilateral,system
bitė_lithuania,BITĖ,10,Comfone,system
telia_lithuania,Telia,0+,Bilateral,system
post_luxembourg,POST,0+,Comfone,system
tango_luxembourg,Tango,10,Bilateral,system
orange_luxembourg,Orange,90,Bilateral,system
tele2_latvia,Tele2,5,Bilateral,system
sia_bite_mobile_latvia,SIA Bite Mobile,90,Comfone,system
lmt_latvia,LMT,5,Bilateral,system
ctm_macau_(china),CTM,,,system
3_macau_(china),3,,,system
smartone_macau_(china),SmarTone,,,system
iam_morocco,IAM,15,Bilateral,system
inwi_morocco,INWI,0,Bilateral,system
orange_morocco_morocco,Orange Morocco,85,Bilateral,system
office_des_telephones_monaco,Office des Telephones,,,system
moldcell_moldova,Moldcell,HLR BARRING,Comfone,system
moldetelecom_moldova,Moldetelecom,0,Comfone,system
orange_moldova,Orange,100,Orange Hub,system
orange_madagascar,Orange,100,Orange Hub,system
airtel_madagascar,Airtel,,,system
telma_madagascar,Telma,HLR BARRING,Bilateral,system
dhiraagu_maldives,Dhiraagu,,,system
ooredoo_maldives,Ooredoo,,,system
altan_redes_mexico,Altan Redes,,,system
at&t_/_unefon_mexico,AT&T / Unefon,80,Orange Hub,system
pegaso_(movistar)_mexico_mexico,Pegaso (Movistar) Mexico,20,Bilateral,system
at&t_mexico,AT&T,80,Comfone,system
telcel_mexico,Telcel,,,system
makedonski_telekom_(t-mobile)_macedonia__,Makedonski Telekom (T-Mobile),HLR BARRING,Comfone,system
vip_north_macedonia,vip,100,Bilateral,system
moov_malitel_mali,MOOV Malitel,10,Bilateral,system
orange_mali,Orange,90,Orange Hub,system
go_malta,GO,HLR BARRING,Bilateral,system
vodafone_malta_maritime_worldwide,Vodafone Malta Maritime,0+,Orange Hub,system
melita_mobile_ltd_malta,Melita Mobile LTD,80,Bilateral,system
