Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Qatar,Ooredoo,Ooredoo,,X,X,X,formerly Qtel,qatar_ooredoo
Qatar,Vodafone,"Qatar Foundation LLC (50%), Pension Fund (13.05%), free float (36.95%)",,X,X,X,,qatar_vodafone
Réunion,SFR,SFR,,X,X,X,,réunion_sfr
Réunion,Orange,Orange,,X,X,X,,réunion_orange
Réunion,FREE,fr: ILIAD and TELCO OI,,X,X,,,réunion_free
Rwanda,MTN Rwanda,"MTN Group (55%), Crystal Telecom (35%)",,X,X,X,,rwanda_mtn_rwanda
Rwanda,Airtel,Bharti Airtel,,X,X,X,,rwanda_airtel
Rwanda,Rwandatel,LAP Green Networks (80%),,X,X,,,rwanda_rwandatel
Saint Helena,Sure,Batelco,,X,,X,,saint helena_sure
São Tomé and Príncipe,CST[128],Portugal Telecom (51%),,X,X,,,são tomé and príncipe_cst[128]
Saudi Arabia,stc,70% state owned and 30% private[citation needed],,X,X,X,,saudi arabia_stc
Saudi Arabia,Mobily,Etisalat (27.45%),,X,X,X,,saudi arabia_mobily
Saudi Arabia,Zain,Zain Group (37%),,X,X,X,,saudi arabia_zain
Saudi Arabia,Virgin mobile KSA,,,X,X,X,,saudi arabia_virgin_mobile_ksa
Saudi Arabia,Lebara Mobile KSA,Lebara,,X,X,X,,saudi arabia_lebara_mobile_ksa
Senegal,Orange,"Sonatel, Orange S.A. (52.2%)",,X,X,X,,senegal_orange
Senegal,Free,"Teyliom, NJJ and AXIAN [134]",,X,X,X,,senegal_free
Senegal,Expresso,Sudatel,,X,X,,,senegal_expresso
Senegal,Hayo Telecom,CSU,,X,X,,,senegal_hayo_telecom
Seychelles,Airtel,Bharti Airtel,,X,X,X,,seychelles_airtel
Seychelles,Cable & Wireless,Cable & Wireless,,X,,,,seychelles_cable_&_wireless
Sierra Leone,Africell,Lintel Limited,,X,X,,,sierra leone_africell
Sierra Leone,Orange,Orange[17],,X,X,X,,sierra leone_orange
Sierra Leone,Sierratel,"government, managed by MDIC[140]",,,,,,sierra leone_sierratel
Sierra Leone,Qcell,Qcell,,X,X,,,sierra leone_qcell
Sierra Leone,Comium,"Comium licence revoked since October 2014,[142] while NATCOM managers have been sacked in 2015[143]",,X,,,,sierra leone_comium
Sierra Leone,GreenN,Ambitel (LapGreen) licence revoked since September 2014[144],,X,,,,sierra leone_greenn
Somalia,Hormuud,Hormuud Telecom Somalia Inc,,X,X,X,,somalia_hormuud
Somalia,Telcom Somalia,Haatif Telecom Somalia,,X,X,X,,somalia_telcom_somalia
Somalia,Telesom Mobile,Telesom Group,,X,X,,,somalia_telesom_mobile
Somalia,Nationlink,Bintel,,X,,,,somalia_nationlink
Somalia,Somtel,Dahabshiil,,X,X,X,,somalia_somtel
Somalia,Golis Telecom Somalia,"Golis Telecom Somalia, Gaani Wireless",,X,,,,somalia_golis_telecom_somalia
Somalia,Somafone,Somali Telecom Group,,X,,,,somalia_somafone
Somalia,Netco,Somali Telecom Group,,X,,,,somalia_netco
Somalia,SomNet[147][148],SomNet Telecom,,X,,X,,somalia_somnet[147][148]
South Africa,Vodacom,Vodacom (65.1%),,X,X,X,,south africa_vodacom
South Africa,MTN,MTN Group,,X,X,X,,south africa_mtn
South Africa,Cell C,Oger Telecom in process of diluting it's 70% stake to 27% Blue Label Telecoms is planning to acquire a 30% stake in Cell C[153],,X,X,X,,south africa_cell_c
South Africa,Telkom,Telkom,,X,X,X,,south africa_telkom
South Africa,Rain,Rain (formerly Wireless Business Solutions) 80% ARC 20%,,,,X,,south africa_rain
South Sudan,MTN,MTN Group,,X,X,,,south sudan_mtn
South Sudan,Zain,Zain Group,,X,X,,,south sudan_zain
South Sudan,Sudani,Sudatel[not operationally active],,X,X,,,south sudan_sudani
South Sudan,Vivacell,"Fattouch Investment Group (75%), Wawat Securities (25%)[156]",,X,,,NOW,south sudan_vivacell
South Sudan,Gemtel,Lap Green Networks (80%),,X,,,,south sudan_gemtel
Sudan,Zain,Zain Group,,X,X,X,,sudan_zain
Sudan,MTN,MTN Group (85%),,X,X,X,,sudan_mtn
Sudan,Sudani,Sudatel,,X,X,,,sudan_sudani
Sudan,Canar,Bank of Khartoum (100%),,,,,,sudan_canar
Syria,MTN,MTN Group (39%),,X,X,X,formerly Areeba,syria_mtn
Syria,Syriatel,Rami Makhlouf,,X,X,X,,syria_syriatel
