Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Slovenia,Telemach,United Group,29370,X,X,X,formerly Tušmobil,slovenia_telemach
Slovenia,T-2,Garnol (pending sale to Telemach),29364,,X,X,,slovenia_t-2
Spain,MásOrange,"Orange S.A. (50,00%), Lorca JVco Ltd (50,00%)",21403 21404,X,X,X,formerly Amena | •Includes the previous Yoigo network.,spain_másorange
Spain,Movistar,Telefónica,21407,X,X,X,formerly Moviline,spain_movistar
Spain,Vodafone,Zegona Communications,21401,X,X,X,formerly Airtel,spain_vodafone
Spain,DIGI,Digi Communications,21422,,,X,,spain_digi
Sweden,Telia,Telia Company,24001,X,X,X,,sweden_telia
Sweden,Telenor,Telenor,24008,X,X,X,formerly Vodafone,sweden_telenor
Sweden,Tele2,Tele2 AB (Freya Investissement (Iliad/NJJ) 19.88%)[150],24007,X,X,X,,sweden_tele2
Sweden,Tre,"CK Hutchison Holdings (60%), Investor AB (40%)",24002,,X,X,,sweden_tre
Switzerland,Swisscom,"Partially state-owned (50% plus one share), free float (49%)",22801,,X,X,,switzerland_swisscom
Switzerland,Sunrise,Free float (100%),22802,,X,X,formerly diAx,switzerland_sunrise
Switzerland,Salt,NJJ[154],22803,,X,X,formerly Orange CH,switzerland_salt
Türkiye,Turkcell,"Turkey Wealth Fund (26.2%), LetterOne (19.8%), free float (54%)",,X,X,X,,türkiye_turkcell
Türkiye,Vodafone Turkey,Vodafone Group plc,,X,X,X,formerly Telsim,türkiye_vodafone_turkey
Türkiye,Türk Telekom,"Türk Telekom (Turkey Wealth Fund (60%), Ministry of Treasury and Finance (Turkey) (25%), free float (15%)) [156]",,X,X,X,"formerly Avea, Aria, Aycell",türkiye_türk_telekom
Ukraine,Kyivstar*,"VEON (LetterOne (45.5%), The Stichting (7.9%), Lingotto Investment Management LLP (7.2%), Shah Capital Management Inc. (6.8%), free float 32.6%)",25503,X,X,X,Including previous Beeline Ukraine network,ukraine_kyivstar*
Ukraine,Vodafone*,Bakcell,25501,X,X,X,"formerly MTS Ukraine, UMC",ukraine_vodafone*
Ukraine,lifecell*,DVL Telecom (NJJ 85%),25506,X,X,X,formerly life:,ukraine_lifecell*
Ukraine,Intertelecom,"Odinaco Ltd (49%), Viktor Gushan (35.7%)",25504,,X,,,ukraine_intertelecom
Ukraine,TriMob*,Ukrtelecom,25507,,X,,,ukraine_trimob*
Ukraine,PEOPLEnet,Telesystemy Ukrainy,25521,,X,,,ukraine_peoplenet
United Kingdom,O2,"Virgin Media O2 (50% Telefónica, 50% Liberty Global)",23410,X,X,X,,united kingdom_o2
United Kingdom,EE,BT Group,23430 and 23433,X,,X,,united kingdom_ee
United Kingdom,Vodafone,Vodafone Group plc,23415,X,,X,,united kingdom_vodafone
United Kingdom,Three,CK Hutchison Holdings,23420,,X,X,,united kingdom_three
