Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Uzbekistan,Beeline,VEON,,X,X,X,,uzbekistan_beeline
Uzbekistan,Mobi.UZ,ООО Universal Mobile Systems,,X,X,X,Formerly UMS,uzbekistan_mobi.uz
Uzbekistan,Uzmobile,Uzbektelecom,,,,,,uzbekistan_uzmobile
Uzbekistan,Perfectum,Perfectum,,,,,,uzbekistan_perfectum
Vanuatu,Vodafone Vanuatu,Vodafone Vanuatu,,X,,,,vanuatu_vodafone_vanuatu
Vanuatu,Digicel,Digicel Group Ltd,,X,X,X,,vanuatu_digicel
Vanuatu,AIL,ACES International,,X,,,,vanuatu_ail
Vanuatu,WanTok,,,,,X,,vanuatu_wantok
Vietnam,Viettel,Ministry of Defence,,,X,X,,vietnam_viettel
Vietnam,Vinaphone,Vietnam Posts and Telecommunications Group,,,X,X,,vietnam_vinaphone
Vietnam,MobiFone,Ministry of Public Security,,,X,X,,vietnam_mobifone
Vietnam,Vietnamobile,Ministry of Health,,,X,,,vietnam_vietnamobile
