Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Saint Vincent and the Grenadines,FLOW,Liberty Latin America[2],,X,X,,,saint vincent and the grenadines_flow
Saint Vincent and the Grenadines,Digicel,Digicel,,X,X,,,saint vincent and the grenadines_digicel
Saint Vincent and the Grenadines,Bouygues,Bouygues,,X,X,,,saint vincent and the grenadines_bouygues
Suriname,Telesur,Telesur,,X,X,X,,suriname_telesur
Suriname,Digicel,Digicel (87.7%)[19],,X,X,,,suriname_digicel
Trinidad and Tobago,Digicel,Digicel (100%)[19],,X,X,X,,trinidad and tobago_digicel
Trinidad and Tobago,bmobile,Cable & Wireless Communications(49%) Government of Trinidad and Tobago (51%),,X,X,X,,trinidad and tobago_bmobile
Turks and Caicos Islands,Digicel,Digicel (51%)[19],,X,X,X,,turks and caicos islands_digicel
Turks and Caicos Islands,FLOW,Liberty Latin America[2],,X,X,X,which acquired the assets of Islandcom Wireless,turks and caicos islands_flow
United States,Verizon Includes TracFone Wireless and Visible by Verizon,Verizon Communications Inc.,,,,X,,united states_verizon_includes_tracfone_wireless_and_visible_by_verizon
United States,T-Mobile Includes Assurance Wireless and Metro by T-Mobile,Deutsche Telekom AG (51.4%) SoftBank Group Corporation (8.5%) free float (39.4%),,X,,X,,united states_t-mobile_includes_assurance_wireless and_metro_by_t-mobile
United States,AT&T Includes Cricket Wireless and FirstNet,AT&T Inc.,,,,X,,united states_at&t_includes_cricket_wireless_and_firstnet
United States,Boost Mobile Includes Gen Mobile and Ting Mobile,EchoStar Corporation,,,,,,united states_boost_mobile_includes_gen_mobile_and ting_mobile
United States,U.S. Cellular,Telephone and Data Systems Inc. (84%) and will be sold to T-Mobile,,,,X,,united states_u.s._cellular
Uruguay,Antel,State-owned,,X,X,X,,uruguay_antel
Uruguay,Movistar,Telefónica (100%)[6],,X,X,X,,uruguay_movistar
Uruguay,Claro,América Móvil (100%)[5],,X,X,X,,uruguay_claro
Venezuela,Movilnet,CANTV,,X,X,X,,venezuela_movilnet
Venezuela,Movistar,Telefónica (100%)[6],,X,X,X,,venezuela_movistar
Venezuela,Digitel GSM,Telvenco,,X,X,X,,venezuela_digitel_gsm
