<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 250306 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-436760182222             4          2
4-491700600152             3          3
4-33191491720339           4          4
4-48881109192              2          2
4-240556000410             1          1
4-30971460012              1          0
4-33191255750069           1          1
4-19039326991              1          1
4-883130000008322          1          0
4-38640006170              5          4
4-19039326993              1          1
4-8613745906000            1          0
4-79101399982              1          1
4-861564450908             1          1
4-48881109152              2          1
4-14054729314              1          1
4-590690880201             1          1
4-13603399764              1          1
4-8615102140000            1          1
4-37069950000              2          2
4-447782000230             3          3
4-8618455040000            1          1
4-447953700238             2          1
4-447782000118             5          5
4-14054729219              1          1
4-79167494142              1          1
4-861854914000             1          1
4-3319127820110            1          1
4-19039326966              1          1
4-8614784620000            1          0
4-447953700234             1          1
4-639180008993             1          0
4-8618400240000            1          1
4-96475209002135           2          2
4-37069899881              1          1
4-3725509961               2          0
4-79167494132              1          1
4-38163100301              1          1
4-491700600140             2          2
4-79188399992              2          1
4-79167494172              1          1
4-66942500006              1          1
4-8618488410000            1          1
4-48601000063              2          2
4-393358999734             1          1
4-66923015506              1          0
4-19039326984              1          0
4-491700600139             1          1
4-447782000233             3          3
4-32451000026              3          3
4-12085978676              1          1
4-33191905420188           1          0
4-861320018000             1          0
4-33689008711              1          1
4-8190542113861            2          1
4-882285000001108          1          0
4-19039326974              1          0
4-19039326982              1          1
4-14054729217              1          0
4-66923016503              1          1
4-861854916000             2          1
4-8615131410000            1          1
4-331912626920012          1          1
4-8618472840000            1          1
4-447953700243             1          1
4-550101102093             2          1
4-54079000020              1          1
4-639180009012             1          0
4-919026786493             1          1
4-491700600105             2          2
4-447953700249             3          2
4-359898000116             1          1
4-14054729325              1          1
4-861851640474             1          0
4-436990071295             2          2
4-447782000119             3          3
4-436760182228             1          1
4-387630000070             1          1
4-550119202007             1          1
4-38268000903              1          1
4-14054729211              1          1
4-905590000238             1          1
4-436760182230             1          0
4-14054729346              1          1
4-861300085100             2          2
4-882285000001116          1          0
4-251911299999             1          0
4-14054729205              1          1
4-436760182232             2          1
4-8618883410000            1          0
4-79147991088              1          1
4-8613782970000            1          0
4-251971200250             1          1
4-33191905420288           2          2
4-33191905420157           1          1
4-33191905420284           2          2
4-79114599990              1          1
4-13603399047              2          1
4-8190542113864            1          1
4-33191232760008           2          0
4-33191353870058           1          1
4-447782000232             1          1
4-8613810410003            1          1
