prefix,country_alpha2,carrier_id,carrier_name,length
554799946,BR,tim,TIM,11
554799947,BR,tim,TIM,11
554799948,BR,tim,TIM,11
554799949,BR,tim,TIM,11
554799951,BR,tim,TIM,11
554799952,BR,tim,TIM,11
554799953,BR,tim,TIM,11
554799954,BR,tim,TIM,11
554799955,BR,tim,TIM,11
554799956,BR,tim,TIM,11
554799957,BR,tim,TIM,11
554799958,BR,tim,TIM,11
554799959,BR,tim,TIM,11
554799961,BR,tim,TIM,11
554799962,BR,tim,TIM,11
554799963,BR,tim,TIM,11
554799964,BR,tim,TIM,11
554799965,BR,tim,TIM,11
554799966,BR,tim,TIM,11
554799967,BR,tim,TIM,11
554799968,BR,tim,TIM,11
554799969,BR,tim,TIM,11
554799971,BR,tim,TIM,11
554799972,BR,tim,TIM,11
554799973,BR,tim,TIM,11
554799974,BR,tim,TIM,11
554799975,BR,tim,TIM,11
554799976,BR,tim,TIM,11
554799977,BR,tim,TIM,11
554799978,BR,tim,TIM,11
554799979,BR,tim,TIM,11
55479998,BR,tim,TIM,11
554799991,BR,tim,TIM,11
554799992,BR,tim,TIM,11
554799993,BR,tim,TIM,11
554799994,BR,tim,TIM,11
554799995,BR,tim,TIM,11
554799996,BR,tim,TIM,11
554799997,BR,tim,TIM,11
554799998,BR,tim,TIM,11
55487400,BR,NextelBr,NextelBr,
554891,BR,VIVOMG1,VIVOMG1,
554898401,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898402,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898403,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898404,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898405,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898406,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898407,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898408,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898409,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898411,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898412,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898413,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898414,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898415,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898416,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898417,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898418,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898419,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898421,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898422,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898423,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898424,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898425,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898426,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898427,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898428,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898429,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898431,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898432,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898433,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898434,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898435,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898436,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898437,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898438,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898439,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898441,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898442,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898443,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898444,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898445,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898446,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898447,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898448,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898449,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898451,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554898452,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
55489880,BR,claro,Claro,11
55489881,BR,claro,Claro,11
55489882,BR,claro,Claro,11
55489883,BR,claro,Claro,11
